ORIGEN,DESTINO,CASETA,DISTANCIA,TIEMPO,COSTO
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Libramiento Sur - Poniente Queretaro - Multitag,52.78 Kms,00h:41m,$326.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Cerro Gordo - Multitag,123.61 Kms,01h:34m,$200.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Entrada Valtierrilla,129.32 Kms,01h:39m,$0.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Salida La Cinta,187.09 Kms,02h:22m,$900.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Copandaro - Multitag,213.72 Kms,02h:43m,$44.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Cuto - Multitag,242.67 Kms,03h:05m,$304.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Chapultepec - Multitag,269.91 Kms,03h:26m,$261.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Zirahuen - Multitag,287.68 Kms,03h:41m,$391.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Taretan - Multitag,329.28 Kms,04h:12m,$212.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Santa Casilda - Multitag,359.21 Kms,04h:34m,$212.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Las Canas - Multitag,438.57 Kms,05h:34m,$405.00
COLGATE ITURBIDE,DUERO LAZARO CARDENAS,Caseta Feliciano - Multitag,509.29 Kms,06h:27m,$606.00
COLGATE ITURBIDE,IMPULSORA SAHUAYO,Caseta Libramiento Sur - Poniente Queretaro - Multitag,52.78 Kms,00h:41m,$326.00
COLGATE ITURBIDE,IMPULSORA SAHUAYO,Caseta Cerro Gordo - Multitag,123.61 Kms,01h:34m,$200.00
COLGATE ITURBIDE,IMPULSORA SAHUAYO,Caseta Entrada Valtierrilla,129.32 Kms,01h:39m,$0.00
COLGATE ITURBIDE,IMPULSORA SAHUAYO,Caseta Salida La Cinta,187.09 Kms,02h:22m,$900.00
COLGATE ITURBIDE,"ABARROTERA LEON GJ, MEX",Caseta Libramiento Sur - Poniente Queretaro - Multitag,52.78 Kms,00h:41m,$326.00
COLGATE ITURBIDE,"ABARROTERA LEON GJ, MEX",Caseta Cerro Gordo - Multitag,122.95 Kms,01h:34m,$200.00
COLGATE ITURBIDE,"ABARROTERA LEON GJ, MEX",Caseta Mendoza - Multitag,134.08 Kms,01h:42m,$175.00
COLGATE ITURBIDE,"ABARROTERA LEON GJ, MEX",Caseta Puerto Interior - Multitag,187.85 Kms,02h:23m,$266.00
COLGATE ITURBIDE,"ABARROTERA LEON GJ, MEX",Caseta Leon - Central de Abasto - Multitag,204.54 Kms,02h:36m,$80.00
COLGATE ITURBIDE,CEDIS COLGATE TULTITLAN,Caseta Chichimequillas - Multitag,35.79 Kms,00h:27m,$104.00
COLGATE ITURBIDE,CEDIS COLGATE TULTITLAN,Caseta Palmillas - Multitag,101.07 Kms,01h:17m,$416.00
COLGATE ITURBIDE,CEDIS COLGATE TULTITLAN,Caseta Tepotzotlan - Multitag,207.38 Kms,02h:37m,$444.00
COLGATE ITURBIDE,SAN JORGE Y CIA BODEGA PRINCIPAL,Caseta Libramiento Sur - Poniente Queretaro - Multitag,52.78 Kms,00h:41m,$326.00
COLGATE ITURBIDE,SAN JORGE Y CIA BODEGA PRINCIPAL,Caseta Cerro Gordo - Multitag,122.95 Kms,01h:34m,$200.00
COLGATE ITURBIDE,SAN JORGE Y CIA BODEGA PRINCIPAL,Caseta Mendoza - Multitag,134.08 Kms,01h:42m,$175.00
COLGATE ITURBIDE,SAN JORGE Y CIA BODEGA PRINCIPAL,Caseta Puerto Interior - Multitag,187.85 Kms,02h:23m,$266.00
COLGATE ITURBIDE,SAN JORGE Y CIA BODEGA PRINCIPAL,Caseta Leon - Central de Abasto - Multitag,204.54 Kms,02h:36m,$80.00
COLGATE ITURBIDE,"PRODUCTOS DE CONSUMO Z, SA DE CV",Caseta Libramiento Sur - Poniente Queretaro - Multitag,52.78 Kms,00h:41m,$326.00
COLGATE ITURBIDE,"PRODUCTOS DE CONSUMO Z, SA DE CV",Caseta Salamanca - Multitag,127.57 Kms,01h:37m,$368.00
COLGATE ITURBIDE,"PRODUCTOS DE CONSUMO Z, SA DE CV",Caseta Libramiento la Piedad - Multitag,228.37 Kms,02h:54m,$189.00
COLGATE ITURBIDE,"PRODUCTOS DE CONSUMO Z, SA DE CV",Caseta Vista Hermosa - Multitag,280.08 Kms,03h:44m,$78.00
COLGATE ITURBIDE,"PRODUCTOS DE CONSUMO Z, SA DE CV",Caseta Ocotlan - Multitag,316.11 Kms,04h:11m,$636.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Chichimequillas - Multitag,35.79 Kms,00h:27m,$104.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Entrada Arco Norte Acambay,155.61 Kms,02h:16m,$0.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Salida Arco Norte Atlacomulco - Multitag,157.55 Kms,02h:18m,$85.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Atlacomulco Sur - Multitag,177.37 Kms,02h:33m,$237.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta El Dorado - Multitag,220.81 Kms,03h:06m,$237.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Xonacatlan - Multitag,242.96 Kms,03h:23m,$412.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Chapultepec - Multitag,263.78 Kms,03h:39m,$215.00
COLGATE ITURBIDE,SERVICIO COMERCIAL GARIS SA DE CV,Caseta Rayon - Multitag,270.08 Kms,03h:44m,$188.00